dataset,setting,seed,method,d_ref,lr,weight_decay,epoch,train_loss,val_metric,selected_run
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,19,0.3026188015937805,0.5281456708908081,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,20,0.28344839811325073,0.5248344540596008,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,21,0.2658701539039612,0.5347682237625122,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,22,0.2497001737356186,0.5364238619804382,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,23,0.23482415080070496,0.5364238619804382,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,24,0.22114484012126923,0.5413907170295715,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,25,0.20856095850467682,0.5430463552474976,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,26,0.1970033198595047,0.5463576316833496,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,27,0.18638640642166138,0.5496688485145569,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,28,0.17664314806461334,0.5513244867324829,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,29,0.16768483817577362,0.5529801249504089,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,30,0.15942047536373138,0.554635763168335,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,31,0.1517525464296341,0.556291401386261,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,32,0.14460697770118713,0.556291401386261,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,33,0.13791629672050476,0.554635763168335,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,34,0.13163147866725922,0.559602677822113,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,35,0.12571898102760315,0.5629138946533203,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,36,0.12016631662845612,0.559602677822113,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,37,0.11499961465597153,0.5662251710891724,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,38,0.11021725833415985,0.5745033025741577,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,39,0.10578887164592743,0.5745033025741577,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,40,0.10173191875219345,0.5728476643562317,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,41,0.09801255911588669,0.5811258554458618,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,42,0.09455215185880661,0.5811258554458618,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,43,0.09127824753522873,0.5827814340591431,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,44,0.08815231174230576,0.5794702172279358,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,45,0.08517120778560638,0.5811258554458618,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,46,0.08234158158302307,0.5877483487129211,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,47,0.0796743780374527,0.5927152037620544,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,48,0.07715348154306412,0.5943708419799805,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,49,0.0747632160782814,0.5943708419799805,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,50,0.07250351458787918,0.5927152037620544,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,51,0.07037367671728134,0.5877483487129211,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,52,0.0683664008975029,0.5860927104949951,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,53,0.066468246281147,0.5860927104949951,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,54,0.06465698033571243,0.5877483487129211,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,55,0.06292178481817245,0.5910596251487732,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,56,0.061252716928720474,0.5960264801979065,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,57,0.05966516211628914,0.5960264801979065,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,58,0.05812433734536171,0.5976821184158325,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,59,0.056652650237083435,0.5976821184158325,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,60,0.05528092011809349,0.6009933948516846,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,61,0.053959064185619354,0.5976821184158325,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,62,0.05264950916171074,0.6009933948516846,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,63,0.05136856064200401,0.5976821184158325,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,64,0.050130803138017654,0.5960264801979065,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,65,0.04893801361322403,0.5960264801979065,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,66,0.04778841510415077,0.5960264801979065,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,67,0.04668756201863289,0.5960264801979065,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,68,0.04563850909471512,0.5993377566337585,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,69,0.04464206099510193,0.5976821184158325,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,70,0.04369348660111427,0.5976821184158325,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,71,0.04278574511408806,0.5993377566337585,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,72,0.04191414639353752,0.6059602499008179,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,73,0.041077159345149994,0.6043046116828918,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,74,0.040275201201438904,0.6043046116828918,True
