dataset,setting,seed,method,party,d_ref,hidden_mean,hidden_std,hidden_l2_mean,hidden_l2_std,projected_l2_mean,projected_l2_std
ACM,hard,42,Project-and-Concat,3,64,0.18235044181346893,0.19823290407657623,1.9060953855514526,1.0049231052398682,0.8514268398284912,0.44057077169418335
ACM,hard,42,Project-and-Concat,4,64,0.21057799458503723,0.21646170318126678,2.144782304763794,1.1120386123657227,0.9914896488189697,0.5073876976966858
ACM,hard,42,Project-and-Concat,5,64,0.19074787199497223,0.22377443313598633,2.0747108459472656,1.1086022853851318,0.89569091796875,0.3685404062271118
ACM,hard,42,Project-and-Concat,6,64,0.19072629511356354,0.2141115963459015,2.0284345149993896,1.0712391138076782,0.9227145910263062,0.4468519985675812
ACM,hard,42,Project-and-Concat,7,64,0.19715142250061035,0.22721263766288757,2.087153434753418,1.198091983795166,0.9834755063056946,0.5312397480010986
ACM,hard,42,Project-and-Concat,8,64,0.2012932449579239,0.22720929980278015,2.1498875617980957,1.129219889640808,1.0012989044189453,0.4717605412006378
ACM,hard,42,Project-and-Concat,9,64,0.18541504442691803,0.2062201052904129,1.971636414527893,1.0171529054641724,0.883942186832428,0.4116043746471405
ACM,hard,42,Project-and-Concat,10,64,0.1963612139225006,0.218169704079628,2.118861436843872,1.0121233463287354,0.9248974323272705,0.40670493245124817
ACM,hard,42,Project-and-Concat,11,64,0.22231382131576538,0.2591232657432556,2.44071626663208,1.2260816097259521,1.0093104839324951,0.508588433265686
ACM,hard,42,Project-and-Concat,12,64,0.18263114988803864,0.2026214897632599,1.9752840995788574,0.9276136159896851,0.852131724357605,0.3411672115325928
ACM,hard,42,Project-and-Concat,13,64,0.1891472488641739,0.2166517972946167,2.0363497734069824,1.0709904432296753,1.065791368484497,0.4408900737762451
ACM,hard,42,Project-and-Concat,14,64,0.19829735159873962,0.22367969155311584,2.1196155548095703,1.107210397720337,1.1234384775161743,0.5140560865402222
