dataset,setting,seed,method,d_ref,lr,weight_decay,val_acc,test_acc,macro_f1,best_epoch,first_loss,best_loss,param_count,party_ids,role,selected
ACM,hard,43,Gated Fusion,32,0.001,0.0001,0.3874172270298004,0.38220757246017456,0.37858995201607387,33,1.1006497144699097,0.8017211556434631,31794,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Gated Fusion,32,0.0003,0.0,0.3874172270298004,0.3706754446029663,0.30601035562867623,87,1.1116997003555298,0.8813853859901428,31794,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Gated Fusion,32,0.0003,0.0001,0.3625827729701996,0.3476111888885498,0.18927950506897875,66,1.0930651426315308,0.9345202445983887,31794,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Gated Fusion,64,0.001,0.0,0.41721853613853455,0.4085667133331299,0.3842956205220356,11,1.0967984199523926,0.9947642087936401,63570,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,True
ACM,hard,43,Gated Fusion,64,0.001,0.0001,0.4139072895050049,0.4151565134525299,0.39708650667626366,20,1.1063686609268188,0.9186517000198364,63570,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Gated Fusion,64,0.0003,0.0,0.38410595059394836,0.38056012988090515,0.2804330335863748,41,1.1008507013320923,0.9572222828865051,63570,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Gated Fusion,64,0.0003,0.0001,0.37748345732688904,0.3525535464286804,0.27252912659316597,72,1.0974433422088623,0.8069589734077454,63570,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Gated Fusion,128,0.001,0.0,0.3791390657424927,0.37726524472236633,0.28629385964912285,3,1.0909978151321411,1.0516549348831177,127122,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Gated Fusion,128,0.001,0.0001,0.3675496578216553,0.3673805594444275,0.2666476025455544,2,1.098545789718628,1.0719431638717651,127122,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Gated Fusion,128,0.0003,0.0,0.41721853613853455,0.38385501503944397,0.2900459340128005,5,1.0974832773208618,1.0781161785125732,127122,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
